idx,signal,prob,ev,atr_pct,stop_pct,tp_pct,position_value,profit,cost,capital_after,fwd,regime
0,short,0.14449316224760497,1.5665205132571849,0.006903850799018569,0.006903850799018569,0.013807701598037138,50.0,-2.0,0.07,97.93,0.0079024650707484,0.0
5,short,0.3433524083441938,0.9699427749674187,0.0062876530260631905,0.0062876530260631905,0.012575306052126381,48.965,-0.12026992,0.068551,97.74117908,0.0024562426555694,-1.0
6,short,0.3494947401577657,0.9515157795267029,0.006031732018312755,0.006031732018312755,0.01206346403662551,48.870589539185026,0.00862904,0.06841883,97.6813893,-0.0001765692592919,0.0
7,short,0.2787919106835428,1.1636242679493716,0.005747888756245301,0.005747888756245301,0.011495777512490602,48.840694648405645,-0.24790696,0.06837697,97.36510536,0.0050758279170536,0.0
8,short,0.24823797166507788,1.2552860850047662,0.0059058464165154655,0.0059058464165154655,0.011811692833030931,48.68255268145943,0.21196363,0.06815557,97.50891342,-0.0043539957165142,0.0
9,short,0.22995437341879368,1.310136879743619,0.00592872910753706,0.00592872910753706,0.01185745821507412,48.75445670750443,0.16789614,0.06825624,97.60855332,-0.0034437086092715,0.0
10,short,0.3028064434354832,1.0915806696935506,0.006059478666135403,0.006059478666135403,0.012118957332270806,48.80427665896117,0.23315991,0.06832599,97.77338724,-0.0047774483322922,0.0
11,short,0.3293463363121177,1.0119609910636471,0.006280074106391968,0.006280074106391968,0.012560148212783936,48.88669362036644,0.01731039,0.06844137,97.72225626,-0.0003540919753905,0.0
13,short,0.29181843088748916,1.1245447073375325,0.006033629194808842,0.006033629194808842,0.012067258389617684,48.86112812778935,-0.0578821,0.06840558,97.59596858,0.00118462463312,0.0
17,short,0.38750540458887583,0.8374837862333725,0.005733893064528263,0.005733893064528263,0.011467786129056527,48.79798429010879,-0.18504251,0.06831718,97.3426089,0.0037920112616576,0.0
18,short,0.3562108603448168,0.9313674189655494,0.005981100222761624,0.005981100222761624,0.011962200445523248,48.671304448118576,0.14804571,0.06813983,97.42251478,-0.0030417453324941,0.0
19,short,0.1602315192006009,1.519305442398197,0.0060162453590478565,0.0060162453590478565,0.012032490718095713,48.711257391570626,0.56005592,0.06819576,97.91437495,-0.0114974639231057,0.0
20,short,0.12568292567274847,1.6229512229817544,0.006367724009781663,0.006367724009781663,0.012735448019563327,48.957187473650876,0.28621402,0.06854006,98.13204891,-0.0058462104811073,0.0
25,long,0.6467921680022605,0.9403765040067814,0.005979307677675484,0.005979307677675484,0.011958615355350968,49.06602445368632,-2.0,0.06869243,96.06335647,-0.0087740183240303,1.0
32,short,0.35947829013379795,0.9215651295986061,0.006319968362131935,0.006319968362131935,0.01263993672426387,48.03167823656874,-2.0,0.06724435,93.99611212,0.0157580919931856,0.0
33,short,0.25918252095517946,1.2224524371344616,0.006412784363094947,0.006412784363094947,0.012825568726189894,46.99805606180314,-2.0,0.06579728,91.93031485,0.0122984905593601,0.0
34,short,0.20649611683225702,1.380511649503229,0.006956793206793213,0.006956793206793213,0.013913586413586426,45.96515742255988,0.09924295,0.06435122,91.96520658,-0.0021590909090908,0.0
35,short,0.316481630214504,1.0505551093564882,0.007141609264250774,0.007141609264250774,0.014283218528501548,45.98260328912707,0.10041624,0.06437564,92.00124717,-0.002183787561146,0.0
53,short,0.35459483868513036,0.9362154839446091,0.008814059324015626,0.008814059324015626,0.017628118648031252,46.00062358537063,0.81090445,0.06440087,92.74775075,-0.0237170147320705,0.0
54,short,0.3611535617508261,0.9165393147475216,0.008778577173375615,0.008778577173375615,0.01755715434675123,46.373875374084044,0.69817074,0.06492343,93.38099807,-0.015055259852339,0.0
55,short,0.3976561387655812,0.8070315837032562,0.009499965345298135,0.009499965345298135,0.01899993069059627,46.6904990333806,-2.0,0.0653667,91.31563137,0.0138134949332208,-1.0
58,short,0.3751955836143078,0.8744132491570765,0.011015156401160917,0.011015156401160917,0.022030312802321834,45.65781568405723,0.54830605,0.06392094,91.80001647,-0.0120090293453723,-1.0
59,short,0.24026074717815632,1.2792177584655309,0.011639354282437063,0.011639354282437063,0.023278708564874125,45.90000823727612,0.15000685,0.06426001,91.88576332,-0.0032681226046663,-1.0
60,short,0.35238317492851123,0.9428504752144663,0.012097793223193086,0.012097793223193086,0.024195586446386173,45.94288165874733,-0.50954534,0.06432003,91.31189795,0.0110908440957295,-1.0
61,short,0.12249704725105376,1.6325088582468386,0.01215434629344334,0.01215434629344334,0.02430869258688668,45.655948972693345,-2.0,0.06391833,89.24797962,0.0134161944799854,-1.0
63,short,0.27616662661387464,1.171500120158376,0.01158887436978979,0.01158887436978979,0.02317774873957958,44.62398980841246,0.05218518,0.06247359,89.23769121,-0.0011694422032653,-1.0
64,short,0.09028936868287724,1.7291318939513685,0.011664923165716757,0.011664923165716757,0.023329846331433514,44.61884560402659,0.24464557,0.06246638,89.4198704,-0.0054830098838468,-1.0
65,short,0.23906327999230292,1.2828101600230912,0.01154169360051713,0.01154169360051713,0.02308338720103426,44.70993519783013,0.18207666,0.06259391,89.53935315,-0.0040723981900452,-1.0
66,short,0.10940131906683005,1.6717960427995098,0.0110319477219096,0.0110319477219096,0.0220638954438192,44.76967657277999,0.08776774,0.06267755,89.56444334,-0.0019604283899073,-1.0
