idx,signal,prob,ev,atr_pct,stop_pct,tp_pct,position_value,profit,cost,capital_after,fwd,regime
0,short,0.14449316224760497,4.13304102651437,0.006903850799018569,0.006903850799018569,0.03451925399509284,50.0,-1.0,0.07,98.93,0.0079024650707484,0.0
19,short,0.1602315192006009,4.038610884796394,0.0060162453590478565,0.0060162453590478565,0.030081226795239283,49.465,0.56872205,0.069251,99.42947105,-0.0114974639231057,0.0
20,short,0.12568292567274847,4.245902445963509,0.006367724009781663,0.006367724009781663,0.03183862004890832,49.714735526478215,0.29064281,0.06960063,99.65051323,-0.0058462104811073,0.0
61,short,0.12249704725105376,4.265017716493677,0.01215434629344334,0.01215434629344334,0.060771731467216705,49.825256615559866,-1.0,0.06975536,98.58075787,0.0134161944799854,-1.0
64,short,0.09028936868287724,4.4582637879027365,0.011664923165716757,0.011664923165716757,0.05832461582858378,49.29037893592897,0.27025963,0.06900653,98.78201098,-0.0054830098838468,-1.0
66,short,0.10940131906683005,4.3435920855990195,0.0110319477219096,0.0110319477219096,0.055159738609548,49.391005488115944,0.09682753,0.06914741,98.8096911,-0.0019604283899073,-1.0
67,short,0.16147339093555962,4.031159654386642,0.011007694699207187,0.011007694699207187,0.05503847349603594,49.40484554895675,0.20607752,0.06916678,98.94660183,-0.0041712005803408,-1.0
72,short,0.16997784517888243,3.9801329289267047,0.00898422348706938,0.00898422348706938,0.044921117435346894,49.47330091728521,0.17448932,0.06926262,99.05182853,-0.0035269391400042,-1.0
73,short,0.1258915980959188,4.244650411424487,0.008541082472246752,0.008541082472246752,0.04270541236123376,49.5259142673383,0.81988316,0.06933628,99.80237541,-0.0165546293806578,0.0
74,short,0.04606457361647048,4.723612558301178,0.00849771500864939,0.00849771500864939,0.04248857504324695,49.90118770506817,0.72150642,0.06986166,100.45402017,-0.0144587023314657,0.0
75,short,0.09814206534707132,4.411147607917573,0.008222012440352257,0.008222012440352257,0.041110062201761284,50.22701008318171,0.68609177,0.07031781,101.06979413,-0.0136598171449262,0.0
76,short,0.06334903527902137,4.619905788325872,0.008274733387061695,0.008274733387061695,0.04137366693530847,50.5348970628598,0.43431558,0.07074886,101.43336085,-0.008594369457634,0.0
120,long,0.8398333008300845,4.038999804980508,0.009175962576466336,0.009175962576466336,0.04587981288233168,50.71668042284666,-0.01466757,0.07100335,101.34768992,-0.0002892060826569,0.0
121,long,0.810035118212968,3.860210709277808,0.008804670175532317,0.008804670175532317,0.044023350877661585,50.673844960315435,-0.36439299,0.07094338,100.91235354,-0.0071909481952496,0.0
125,long,0.8651203924638775,4.190722354783265,0.008834318320766235,0.008834318320766235,0.044171591603831176,50.45617677186135,-0.33541481,0.07063865,100.50630008,-0.0066476462196862,0.0
174,long,0.8120198971931594,3.8721193831589558,0.009509788092263839,0.009509788092263839,0.047548940461319196,50.253150041732404,-1.0,0.07035441,99.43594567,-0.0117581742113297,0.0
192,long,0.8782149928783675,4.269289957270205,0.012254585702529321,0.012254585702529321,0.06127292851264661,49.71797283670319,0.25347474,0.06960516,99.61981525,0.0050982517412337,0.0
221,long,0.8118655904163646,3.8711935424981876,0.01153250437879074,0.01153250437879074,0.057662521893953704,49.80990762651017,0.48098938,0.06973387,100.03107076,0.0096565001519911,0.0
225,long,0.917976183196232,4.507857099177392,0.01156349923287593,0.01156349923287593,0.05781749616437965,50.01553538145464,-1.0,0.07002175,98.96104901,-0.014895111914082,0.0
227,long,0.8763579943932968,4.258147966359781,0.011839900929079238,0.011839900929079238,0.05919950464539619,49.48052450668762,0.41840923,0.06927273,99.31018551,0.0084560387256192,0.0
228,long,0.8360322944562466,4.016193766737479,0.011827132173351082,0.011827132173351082,0.05913566086675541,49.65509275522919,1.03412273,0.06951713,100.27479111,0.0208261161942412,0.0
229,long,0.8684068239583043,4.210440943749826,0.011973884752916362,0.011973884752916362,0.059869423764581806,50.13739555597865,1.67056074,0.07019235,101.8751595,0.0333196553139105,0.0
236,long,0.8705559925648908,4.223335955389345,0.01381674056346018,0.01381674056346018,0.0690837028173009,50.937579748220664,0.16919179,0.07131261,101.97303867,0.0033215513484722,1.0
239,long,0.8067083623107769,3.840250173864662,0.014174994760470792,0.014174994760470792,0.07087497380235395,50.98651933574721,-0.2844395,0.07138113,101.61721804,-0.0055787197899775,1.0
240,long,0.8143010857347847,3.8858065144087077,0.014155636585045234,0.014155636585045234,0.07077818292522617,50.80860901999199,0.35386632,0.07113205,101.89995231,0.0069646922071001,1.0
241,long,0.8227768807269465,3.936661284361679,0.014333002732686376,0.014333002732686376,0.07166501366343188,50.949976155325565,0.83381824,0.07132997,102.66244059,0.0163654294948783,1.0
