idx,signal,prob,ev,atr_pct,stop_pct,tp_pct,position_value,profit,cost,capital_after,fwd,regime
5,short,0.23042027775370258,2.8478986112314875,0.0062876530260631905,0.0062876530260631905,0.025150612104252762,50.0,-0.21116619,0.07,99.71883381,0.0042233237027416,-1.0
6,short,0.18131513418531786,3.093424329073411,0.006031732018312755,0.006031732018312755,0.02412692807325102,49.859416907431466,0.13425551,0.06980318,99.78328615,-0.0026926812042023,0.0
7,short,0.21286400277200926,2.935679986139954,0.005747888756245301,0.005747888756245301,0.022991555024981205,49.89164307297583,0.0992671,0.0698483,99.81270494,-0.0019896538002386,0.0
8,short,0.1867574553199958,3.066212723400021,0.0059058464165154655,0.0059058464165154655,0.023623385666061862,49.9063524714449,0.15087282,0.06986889,99.89370887,-0.0030231184833288,0.0
9,short,0.18058086337888254,3.097095683105587,0.00592872910753706,0.00592872910753706,0.02371491643014824,49.946854433010856,0.14333534,0.0699256,99.96711861,-0.0028697571743929,0.0
10,short,0.16513019867866635,3.174349006606668,0.006059478666135403,0.006059478666135403,0.024237914664541612,49.983559306831495,0.02902467,0.06997698,99.9261663,-0.0005806843276818,0.0
15,short,0.1674076686301125,3.1629616568494376,0.005627233066423824,0.005627233066423824,0.022508932265695294,49.963083150082326,-0.2190418,0.06994832,99.63717618,0.0043840729622423,0.0
17,short,0.21279838302914164,2.9360080848542918,0.005733893064528263,0.005733893064528263,0.022935572258113053,49.818588090903,0.18847433,0.06974602,99.75590449,-0.0037832130916769,0.0
18,short,0.22514588210950245,2.874270589452488,0.005981100222761624,0.005981100222761624,0.023924400891046495,49.87795224657655,0.42899015,0.06982913,100.11506551,-0.0086007971470527,0.0
19,short,0.11721300593748518,3.413934970312574,0.0060162453590478565,0.0060162453590478565,0.024064981436191426,50.057532754695536,0.62622718,0.07008055,100.67121214,-0.0125101486725972,0.0
20,short,0.08369807082016265,3.5815096458991866,0.006367724009781663,0.006367724009781663,0.025470896039126653,50.33560607023957,0.3035375,0.07046985,100.90427979,-0.0060302740794628,0.0
28,long,0.7056193801086689,2.5280969005433445,0.006213970535904964,0.006213970535904964,0.024855882143619855,50.45213989627011,0.27558193,0.070633,101.10922873,0.0054622446800939,0.0
31,short,0.21774400926655002,2.91127995366725,0.006595128303604842,0.006595128303604842,0.02638051321441937,50.5546143647166,-2.0,0.07077646,99.03845227,0.0184984065376466,0.0
33,short,0.27452225616806036,2.6273887191596983,0.006412784363094947,0.006412784363094947,0.025651137452379787,49.519226134661295,-2.0,0.06932692,96.96912535,0.0106881846012281,0.0
34,short,0.085289392993069,3.5735530350346547,0.006956793206793213,0.006956793206793213,0.027827172827172852,48.484562676367034,0.05509609,0.06787839,96.95634306,-0.0011363636363635,0.0
35,short,0.19596078385654694,3.020196080717265,0.007141609264250774,0.007141609264250774,0.028566437057003097,48.47817152946878,0.43320379,0.06786944,97.32167741,-0.0089360587002096,0.0
51,long,0.7309118484166955,2.6545592420834776,0.00832054506670063,0.00832054506670063,0.03328218026680252,48.66083870263124,-2.0,0.06812517,95.25355223,-0.0323244929797191,0.0
53,short,0.26674692492531465,2.6662653753734267,0.008814059324015626,0.008814059324015626,0.035256237296062504,47.6267761155394,0.18676159,0.06667749,95.37363634,-0.0039213570053785,0.0
55,short,0.08911963788521701,3.554401810573915,0.009499965345298135,0.009499965345298135,0.03799986138119254,47.68681816834065,0.06198706,0.06676155,95.36886185,-0.00129987825084,-1.0
56,short,0.273830068834508,2.63084965582746,0.009926392689016015,0.009926392689016015,0.03970557075606406,47.6844309245172,-0.38262111,0.0667582,94.91948253,0.0080240260159006,-1.0
57,short,0.29388480828122193,2.5305759585938903,0.010262126925582376,0.010262126925582376,0.041048507702329505,47.45974126572417,-0.2164129,0.06644364,94.63662599,0.0045599258667987,-1.0
58,short,0.25012894714051337,2.7493552642974333,0.011015156401160917,0.011015156401160917,0.04406062560464367,47.31831299592359,0.18841875,0.06624564,94.7587991,-0.0039819413092551,-1.0
60,short,0.07718489421722682,3.6140755289138657,0.012097793223193086,0.012097793223193086,0.048391172892772345,47.37939954942781,-2.0,0.06633116,92.69246794,0.0128415475852208,-1.0
61,short,0.0942302824089608,3.528848587955196,0.01215434629344334,0.01215434629344334,0.04861738517377336,46.34623396974321,-0.32190768,0.06488473,92.30567554,0.00694571376348,-1.0
62,short,0.06754197700514479,3.6622901149742764,0.012378821288310716,0.012378821288310716,0.04951528515324286,46.15283776837983,-0.33300522,0.06461397,91.90805634,0.0072152708009864,-1.0
63,short,0.06476024204460237,3.676198789776988,0.01158887436978979,0.01158887436978979,0.04635549747915916,45.95402817057554,0.10789775,0.06433564,91.95161846,-0.0023479498499667,-1.0
64,short,0.058747452477257295,3.7062627376137134,0.011664923165716757,0.011664923165716757,0.04665969266286703,45.97580922763037,0.3831041,0.06436613,92.27035642,-0.0083327321261093,-1.0
65,short,0.20789991291599433,2.9605004354200286,0.01154169360051713,0.01154169360051713,0.04616677440206852,46.135178212458506,0.28390879,0.06458925,92.48967596,-0.006153846153846,-1.0
66,short,0.1911853857609351,3.0440730711953243,0.0110319477219096,0.0110319477219096,0.0441277908876384,46.24483798220965,0.14228535,0.06474277,92.56721854,-0.0030767834452711,-1.0
67,short,0.23379255678474473,2.8310372160762762,0.011007694699207187,0.011007694699207187,0.04403077879682875,46.28360927158856,-0.24384092,0.06479705,92.25858057,0.0052684076895176,-1.0
72,short,0.173786652522067,3.1310667373896646,0.00898422348706938,0.00898422348706938,0.03593689394827752,46.12929028360591,0.74939656,0.06458101,92.94339612,-0.0162455687753133,-1.0
