idx,i_test,signal,prob,regime,atr,stop_pct,tp_pct,position_value,profit,cost,capital_after,ev
0,0,short,0.44814279704441334,0,0.0,0.01,0.03,50.0,-0.360861,0.07,99.569139,1.207429
3,3,short,0.3721362491543764,-1,0.0,0.01,0.03,49.784569,-0.088353,0.069698,99.411087,1.511455
5,5,short,0.23042027775370258,-1,0.0,0.01,0.03,49.705544,-0.209923,0.069588,99.131577,2.078319
6,6,short,0.18131513418531786,0,0.0,0.01,0.03,49.565788,0.133465,0.069392,99.195649,2.274739
7,7,short,0.21286400277200926,0,0.0,0.01,0.03,49.597825,0.098683,0.069437,99.224895,2.148544
8,8,short,0.1867574553199958,0,0.0,0.01,0.03,49.612447,0.149984,0.069457,99.305422,2.25297
9,9,short,0.18058086337888254,0,0.0,0.01,0.03,49.652711,0.142491,0.069514,99.378399,2.277677
10,10,short,0.16513019867866635,0,0.0,0.01,0.03,49.6892,0.028854,0.069565,99.337688,2.339479
11,11,short,0.3328018767717224,0,0.0,0.01,0.03,49.668844,-0.12531,0.069536,99.142842,1.668792
12,12,short,0.3351420113956758,0,0.0,0.01,0.03,49.571421,-0.351383,0.0694,98.722059,1.659432
13,13,short,0.3286612146375081,0,0.006735714285714321,0.005954696316802505,0.017864088950407517,49.361029,-4.936103,0.069105,93.71685,1.685355
15,15,short,0.1674076686301125,0,0.007142857142857181,0.006288113829951828,0.018864341489855486,46.858425,-0.205431,0.065602,93.445818,2.330369
16,16,short,0.3896004895539969,0,0.006807142857142885,0.006010722169662591,0.01803216650898777,46.722909,-4.672291,0.065412,88.708115,1.441598
17,17,short,0.21279838302914164,0,0.007200000000000016,0.006334682386063713,0.019004047158191137,44.354057,0.167801,0.062096,88.81382,2.148806
18,18,short,0.22514588210950245,0,0.007050000000000016,0.006162156492552983,0.01848646947765895,44.40691,0.381935,0.06217,89.133585,2.099416
19,19,short,0.11721300593748518,0,0.007342857142857159,0.006410344350229302,0.019231033050687907,44.566792,0.557537,0.062394,89.628729,2.531148
20,20,short,0.08369807082016265,0,0.007000000000000006,0.006135453278523289,0.018406359835569867,44.814364,0.270243,0.06274,89.836231,2.665208
24,24,long,0.5506706779966726,1,0.007564285714285722,0.006687311662823101,0.020061934988469303,44.918116,-4.491812,0.062885,85.281535,1.202683
26,26,short,0.44445627237936003,0,0.0070857142857142985,0.006255596614915069,0.018766789844745207,42.640767,0.352359,0.059697,85.574197,1.222175
27,27,short,0.38948526717755977,0,0.007385714285714297,0.00653533632332345,0.019606008969970348,42.787098,0.116611,0.059902,85.630906,1.442059
28,28,long,0.7056193801086689,0,0.006978571428571437,0.006208251573350151,0.018624754720050454,42.815453,0.233868,0.059942,85.804833,1.822478
30,30,long,0.56969217960496,0,0.007492857142857158,0.006722704154874711,0.020168112464624133,42.902416,0.865261,0.060063,86.61003,1.278769
31,31,short,0.21774400926655002,0,0.007107142857142883,0.0063267958562348734,0.01898038756870462,43.305015,-4.330502,0.060627,82.218902,2.129024
32,32,short,0.4075166477505136,0,0.00802857142857145,0.007123590492415042,0.021370771477245126,41.109451,-4.110945,0.057553,78.050403,1.369933
33,33,short,0.27452225616806036,0,0.007892857142857162,0.006983469716388987,0.02095040914916696,39.025202,-3.90252,0.054635,74.093248,1.901911
34,34,short,0.085289392993069,0,0.008100000000000012,0.007080419580419591,0.021241258741258772,37.046624,0.042098,0.051865,74.083481,2.658842
35,35,short,0.19596078385654694,0,0.008000000000000023,0.006988120195667385,0.020964360587002153,37.04174,0.331007,0.051858,74.36263,2.216157
47,47,short,0.38655188334406054,0,0.010271428571428598,0.00907129609770255,0.02721388829310765,37.181315,0.653784,0.052054,74.96436,1.453792
48,48,short,0.30107634739758754,0,0.010085714285714333,0.008921936843808017,0.02676581053142405,37.48218,0.61606,0.052475,75.527945,1.795695
51,51,long,0.7309118484166955,0,0.009685714285714313,0.008634467827692723,0.02590340348307817,37.763973,-3.776397,0.05287,71.698678,1.923647
52,52,short,0.3665828947279887,0,0.009814285714285744,0.008822702212610455,0.026468106637831366,35.849339,0.723825,0.050189,72.372315,1.533668
