idx,signal,prob,fwd,position_value,profit,cost,capital_after
0,short,0.44814279704441334,0.0072172287977218,50.0,-0.36086143988609,0.07,99.56913856011391
2,long,0.6781920294149199,0.0025177081763459,49.78456928005696,0.12534301713225832,0.06969839699207975,99.62478318025408
3,short,0.3721362491543764,0.0017747090713239,49.81239159012704,-0.08840250321933682,0.06973734822617786,99.46664332880856
4,long,0.5719911940789312,-0.0003001306451043,49.73332166440428,-0.014926493914317317,0.06962665033016599,99.38209018456408
5,short,0.23042027775370258,0.0042233237027416,49.69104509228204,-0.20986136855223642,0.06956746312919486,99.10266135288265
6,short,0.18131513418531786,-0.0026926812042023,49.551330676441324,0.1334259367556664,0.06937186294701786,99.1667154266913
7,short,0.21286400277200926,-0.0019896538002386,49.58335771334565,0.09865371610294807,0.06941670079868391,99.19595244199556
8,short,0.1867574553199958,-0.0030231184833288,49.59797622099778,0.1499405586494007,0.0694371667093969,99.27645583393557
9,short,0.18058086337888254,-0.0028697571743929,49.638227916967786,0.14244966068886825,0.0694935190837549,99.34941197554069
10,short,0.16513019867866635,-0.0005806843276818,49.674705987770345,0.028845323249299507,0.06954458838287848,99.30871271040711
11,short,0.3328018767717224,0.002522905324658,49.654356355203554,-0.12527324004100884,0.06951609889728498,99.11392337146881
12,short,0.3351420113956758,0.0070884281410597,49.55696168573441,-0.35128096179857715,0.06937974636002817,98.69326266331021
13,short,0.3286612146375081,0.0114219031790374,49.346631331655104,-5.0,0.06908528386431714,93.6241773794459
15,short,0.1674076686301125,0.0043840729622423,46.81208868972295,-0.20522761233070294,0.06553692416561213,93.35341284294958
16,short,0.3896004895539969,0.0071523178807946,46.67670642147479,-0.33384664195491426,0.0653473889900647,92.9542188120046
17,short,0.21279838302914164,-0.0037832130916769,46.4771094060023,0.1758328087680875,0.06506795316840322,93.06498366760428
18,short,0.22514588210950245,-0.0086007971470527,46.53249183380214,0.4002165230094185,0.065145488567323,93.40005470204638
19,short,0.11721300593748518,-0.0125101486725972,46.70002735102319,0.5842242851756557,0.06538003829143246,93.91889894893059
20,short,0.08369807082016265,-0.0060302740794628,46.959449474465295,0.28317835095171107,0.06574322926425141,94.13633407061805
21,short,0.10326875845402365,-0.0069261792039277,47.068167035309024,0.32600255968695263,0.06589543384943264,94.39644119645557
22,short,0.14766106657168698,-0.001925284818511,47.198220598227785,0.09087001757850112,0.0660775088375189,94.42123370519654
24,long,0.5506706779966726,-0.0149406793146738,47.21061685259827,-5.0,0.06609486359363759,89.35513884160291
26,short,0.44445627237936003,-0.0082634413348636,44.677569420801454,0.36919047389308873,0.06254859718912203,89.66178071830687
27,short,0.38948526717755977,-0.0027253742965348,44.830890359153436,0.12218095627560656,0.06276324650281481,89.72119842807967
28,long,0.7056193801086689,0.0054622446800939,44.86059921403984,0.2450395694027137,0.06280483889965577,89.90343315858274
30,long,0.56969217960496,0.0271317829457364,44.95171657929137,1.2196202172675938,0.06293240321100793,91.06012097263933
31,short,0.21774400926655002,0.0184984065376466,45.53006048631966,-5.0,0.06374208468084752,85.99637888795847
32,short,0.4075166477505136,0.0128566865417375,42.998189443979236,-5.0,0.060197465221570934,80.9361814227369
33,short,0.27452225616806036,0.0106881846012281,40.46809071136845,-5.0,0.05665532699591583,75.87952609574097
34,short,0.085289392993069,-0.0011363636363635,37.939763047870485,0.04311336709984765,0.05311566826701868,75.8695237945738
35,short,0.19596078385654694,-0.0089360587002096,37.9347618972869,0.3389872590926302,0.053108666656201654,76.15540238701023
36,short,0.23492589023181717,-0.0118868650141594,38.07770119350511,0.45262449413669154,0.05330878167090716,76.554718099476
37,short,0.21693544735324607,-0.0050195789860976,38.277359049738,0.19213622712937767,0.0535883026696332,76.69326602393575
38,short,0.24475658092460376,-0.0044559222621028,38.346633011967874,0.1708696157147138,0.05368528621675503,76.8104503534337
39,short,0.27159829245282574,-0.0059333158309267,38.40522517671685,0.22787033053131872,0.053767315247403594,76.98455336871761
40,short,0.16049812632979396,-0.0022387336171412,38.49227668435881,0.08617395381357446,0.05388918735810233,77.01683813517307
41,short,0.2528874755798177,0.0004422743516257,38.50841906758654,-0.01703128607524758,0.053911786694621155,76.9458950624032
42,short,0.40945213761789595,-0.0030815284381051,38.4729475312016,0.11855548191512312,0.053862126543682234,77.01058841777464
43,short,0.1920359852409119,-0.0059531660819023,38.50529420888732,0.22922841145801706,0.05390741189244225,77.18590941734023
44,short,0.27068368880073473,-0.0147721670540179,38.59295470867011,0.5701015740646217,0.054030136592138164,77.70198085481272
45,short,0.3188259927043492,-0.0048231937316149,38.85099042740636,0.1873858534964968,0.05439138659836891,77.83497532171084
46,short,0.38223603730473676,-0.0081961415359585,38.91748766085542,0.31897323709228953,0.05448448272519759,78.09946407607794
47,short,0.38655188334406054,-0.0175836792369514,39.04973203803897,0.6866379624457817,0.05466962485325456,78.73143241367046
48,short,0.30107634739758754,-0.0164360779873322,39.36571620683523,0.6470179816027309,0.055112002689569325,79.32333839258362
51,long,0.7309118484166955,-0.0323244929797191,39.66166919629181,-5.0,0.05552633687480854,74.26781205570882
52,short,0.3665828947279887,-0.0201907604347395,37.13390602785441,0.7497618006145375,0.05198746843899617,74.96558638788436
53,short,0.26674692492531465,-0.0039213570053785,37.48279319394218,0.14698341367221873,0.052475910471519054,75.06009389108506
54,short,0.43348961106728817,-0.0073197842019175,37.53004694554253,0.27471184472920435,0.052542065723759544,75.28226367009052
55,short,0.08911963788521701,-0.00129987825084,37.64113183504526,0.04892888860937647,0.05269758456906336,75.27849497413084
56,short,0.273830068834508,0.0080240260159006,37.63924748706542,-0.3020183010551342,0.05269494648189159,74.92378172659382
57,short,0.29388480828122193,0.0045599258667987,37.46189086329691,-0.17082344516673745,0.05244664720861567,74.70051163421847
58,short,0.25012894714051337,-0.0039819413092551,37.350255817109236,0.14872652654939286,0.052290358143952935,74.79694780262392
59,short,0.36365410272732185,0.0094584384018062,37.39847390131196,-0.353731161717116,0.05235786346183674,74.39085877744496
60,short,0.07718489421722682,0.0128415475852208,37.19542938872248,-5.0,0.05207360114421147,69.33878517630075
61,short,0.0942302824089608,0.00694571376348,34.66939258815037,-0.24080367727100754,0.048537149623410526,69.04944434940633
62,short,0.06754197700514479,0.0072152708009864,34.524722174703165,-0.24910521981930342,0.04833461104458443,68.75200451854245
63,short,0.06476024204460237,-0.0023479498499667,34.376002259271225,0.08071312934711082,0.04812640316297972,68.78459124472658
64,short,0.058747452477257295,-0.0083327321261093,34.39229562236329,0.2865817866231149,0.04814921387130861,69.02302381747839
