idx,signal,prob,fwd,position_value,profit,cost,capital_after,stop_pct,tp_pct
0,short,0.14449316224760497,0.0079024650707484,50.0,-0.39512325353741995,0.07,99.53487674646259,0.01,0.04
1,short,0.2894994062131395,0.0042818769337152,49.76743837323129,-0.2130980464204318,0.06967441372252381,99.25210428631964,0.01,0.04
2,short,0.3527488999960469,0.0033687644613079,49.62605214315982,-0.16717848081488954,0.06947647300042376,99.01544933250433,0.01,0.04
4,short,0.2960448224170415,-0.001756647011052,49.507724666252166,0.08696759655895725,0.06931081453275303,99.03310611453054,0.01,0.04
5,short,0.3433524083441938,0.0024562426555694,49.51655305726527,-0.12162466977602034,0.06932317428017139,98.84215827047434,0.01,0.04
6,short,0.3494947401577657,-0.0001765692592919,49.42107913523717,0.008726243336315201,0.06918951078933204,98.78169500302133,0.01,0.04
7,short,0.2787919106835428,0.0050758279170536,49.39084750151066,-0.2506994425951049,0.06914718650211493,98.4618483739241,0.01,0.04
8,short,0.24823797166507788,-0.0043539957165142,49.23092418696205,0.2143512330300681,0.06892329386174686,98.60727631309243,0.01,0.04
9,short,0.22995437341879368,-0.0034437086092715,49.303638156546214,0.16978736318810503,0.0690250934191647,98.70803858286136,0.01,0.04
10,short,0.3028064434354832,-0.0047774483322922,49.35401929143068,0.23578627715576259,0.06909562700800295,98.87472923300913,0.01,0.04
11,short,0.3293463363121177,-0.0003540919753905,49.43736461650457,0.01750537409515851,0.0692123104631064,98.8230222966412,0.01,0.04
13,short,0.29181843088748916,0.00118462463312,49.4115111483206,-0.05853409326598408,0.06917611560764883,98.69531208776756,0.01,0.04
14,short,0.2551318725526486,0.0065087447420854,49.34765604388378,-0.3211912968098674,0.0690867184614373,98.30503407249626,0.01,0.04
17,short,0.38750540458887583,0.0037920112616576,49.15251703624813,-0.18638689814026996,0.06881352385074738,98.04983365050524,0.01,0.04
18,short,0.3562108603448168,-0.0030417453324941,49.02491682525262,0.14912131192912362,0.06863488355535366,98.13032007887901,0.01,0.04
19,short,0.1602315192006009,-0.0114974639231057,49.065160039439505,0.5641249074348632,0.0686912240552153,98.62575376225865,0.01,0.04
20,short,0.12568292567274847,-0.0058462104811073,49.31287688112933,0.2882934576760121,0.06903802763358106,98.84500919230109,0.01,0.04
21,short,0.1452640705457172,-0.0082938804138173,49.422504596150546,0.4099043428718085,0.06919150643461076,99.1857220287383,0.01,0.04
25,long,0.6467921680022605,-0.0087740183240303,49.59286101436915,-0.43512867128116284,0.0694300054201168,98.68116335203702,0.01,0.04
26,long,0.6346140964703795,-0.0162973426326477,49.34058167601851,-4.934058167601851,0.06907681434642592,93.67802837008874,0.01,0.04
27,long,0.7447331570393093,-0.0137684493682087,46.83901418504437,-4.683901418504437,0.06557461985906213,88.92855233172524,0.01,0.04
28,short,0.3835431438612778,-0.0006583161340829,44.46427616586262,0.02927155039030511,0.06224998663220767,88.89557389548334,0.01,0.04
30,short,0.3112646710666302,0.0140503875968992,44.44778694774167,-4.444778694774167,0.06222690172683834,84.38856829898232,0.01,0.04
32,short,0.35947829013379795,0.0157580919931856,42.19428414949116,-4.219428414949117,0.059071997809287624,80.11006788622392,0.01,0.04
33,short,0.25918252095517946,0.0122984905593601,40.05503394311196,-4.005503394311196,0.05607704752035675,76.04848744439236,0.01,0.04
34,short,0.20649611683225702,-0.0021590909090908,38.02424372219618,0.0820977989456467,0.05323394121107466,76.07735130212694,0.01,0.04
35,short,0.316481630214504,-0.002183787561146,38.03867565106347,0.08306838672925963,0.053254145911488866,76.10716554294471,0.01,0.04
36,short,0.16193125314801157,-0.0012411285529489,38.05358277147236,0.047229388119678674,0.053275015880061304,76.10111991518433,0.01,0.04
37,short,0.3878984755870682,-0.006097080234422,38.050559957592164,0.23199731702612442,0.05327078394062903,76.27984644826982,0.01,0.04
38,short,0.3611261102229845,-0.0103125273570866,38.13992322413491,0.3933190016460738,0.05339589251378887,76.61976955740211,0.01,0.04
39,short,0.38667474097532767,-0.0060383302704122,38.309884778701054,0.23132773691523417,0.05363383869018148,76.79746345562717,0.01,0.04
43,short,0.2802636185412663,-0.0054431459449003,38.39873172781358,0.209009900893563,0.053758224418939016,76.95271513210179,0.01,0.04
45,long,0.6458478026678446,-0.0014045564163495,38.47635756605089,-0.05404221489715441,0.053866900592471255,76.84480601661217,0.01,0.04
46,short,0.39435048228316755,-0.0105037930363741,38.422403008306084,0.4035809691594047,0.05379136421162852,77.19459562155994,0.01,0.04
48,long,0.6185607864803871,-0.0076872722125896,38.59729781077997,-0.29670793494185427,0.05403621693509196,76.843851469683,0.01,0.04
52,long,0.6333623282869792,-0.0179613265131832,38.4219257348415,-3.84219257348415,0.053790696028778104,72.94786820017006,0.01,0.04
53,short,0.35459483868513036,-0.0237170147320705,36.47393410008503,0.8650528323882852,0.051063507740119043,73.76185752481823,0.01,0.04
54,short,0.3611535617508261,-0.015055259852339,36.88092876240911,0.5552519661136726,0.05163330026737276,74.26547619066453,0.01,0.04
55,short,0.3976561387655812,0.0138134949332208,37.132738095332265,-3.7132738095332267,0.051985833333465174,70.50021654779785,0.01,0.04
58,short,0.3751955836143078,-0.0120090293453723,35.250108273898924,0.4233195846888031,0.0493501515834585,70.87418598090319,0.01,0.04
59,short,0.24026074717815632,-0.0032681226046663,35.437092990451596,0.11581276464575656,0.049611930186632236,70.94038681536232,0.01,0.04
60,short,0.35238317492851123,0.0110908440957295,35.47019340768116,-3.547019340768116,0.04965827077075362,67.34370920382345,0.01,0.04
