idx,i_test,signal,prob,regime,atr,stop_pct,tp_pct,position_value,profit,cost,capital_after,ev
0,0,short,0.14449316224760497,0,0.0,0.01,0.04,50.0,-0.395123,0.07,99.534877,3.277534
1,1,short,0.2894994062131395,-1,0.0,0.01,0.04,49.767438,-0.213098,0.069674,99.252104,2.552503
2,2,short,0.3527488999960469,-1,0.0,0.01,0.04,49.626052,-0.167178,0.069476,99.015449,2.236256
4,4,short,0.2960448224170415,-1,0.0,0.01,0.04,49.507725,0.086968,0.069311,99.033106,2.519776
5,5,short,0.3433524083441938,-1,0.0,0.01,0.04,49.516553,-0.121625,0.069323,98.842158,2.283238
6,6,short,0.3494947401577657,0,0.0,0.01,0.04,49.421079,0.008726,0.06919,98.781695,2.252526
7,7,short,0.2787919106835428,0,0.0,0.01,0.04,49.390848,-0.250699,0.069147,98.461848,2.60604
8,8,short,0.24823797166507788,0,0.0,0.01,0.04,49.230924,0.214351,0.068923,98.607276,2.75881
9,9,short,0.22995437341879368,0,0.0,0.01,0.04,49.303638,0.169787,0.069025,98.708039,2.850228
10,10,short,0.3028064434354832,0,0.0,0.01,0.04,49.354019,0.235786,0.069096,98.874729,2.485968
11,11,short,0.3293463363121177,0,0.0,0.01,0.04,49.437365,0.017505,0.069212,98.823022,2.353268
12,12,short,0.43145878885999056,0,0.0,0.01,0.04,49.411511,-0.320917,0.069176,98.43293,1.842706
13,13,short,0.29181843088748916,0,0.006735714285714321,0.005954696316802505,0.02381878526721002,49.216465,-0.058303,0.068903,98.305724,2.540908
14,14,short,0.2551318725526486,0,0.007085714285714314,0.006274708245042562,0.02509883298017025,49.152862,-4.915286,0.068814,93.321623,2.724341
16,16,long,0.559634918441462,0,0.006807142857142885,0.006010722169662591,0.024042888678650363,46.660812,0.534385,0.065325,93.790683,1.798175
17,17,short,0.38750540458887583,0,0.007200000000000016,0.006334682386063713,0.02533872954425485,46.895342,-0.177828,0.065653,93.547202,2.062473
18,18,short,0.3562108603448168,0,0.007050000000000016,0.006162156492552983,0.024648625970211932,46.773601,0.142273,0.065483,93.623992,2.218946
