idx,i_test,signal,prob,regime,atr,stop_pct,tp_pct,position_value,profit,cost,capital_after,ev
0,0,short,0.44814279704441334,0,0.0,0.01,0.04,50.0,-0.360861,0.07,99.569139,1.759286
3,3,short,0.3721362491543764,-1,0.0,0.01,0.04,49.784569,-0.088353,0.069698,99.411087,2.139319
5,5,short,0.23042027775370258,-1,0.0,0.01,0.04,49.705544,-0.209923,0.069588,99.131577,2.847899
6,6,short,0.18131513418531786,0,0.0,0.01,0.04,49.565788,0.133465,0.069392,99.195649,3.093424
7,7,short,0.21286400277200926,0,0.0,0.01,0.04,49.597825,0.098683,0.069437,99.224895,2.93568
8,8,short,0.1867574553199958,0,0.0,0.01,0.04,49.612447,0.149984,0.069457,99.305422,3.066213
9,9,short,0.18058086337888254,0,0.0,0.01,0.04,49.652711,0.142491,0.069514,99.378399,3.097096
10,10,short,0.16513019867866635,0,0.0,0.01,0.04,49.6892,0.028854,0.069565,99.337688,3.174349
11,11,short,0.3328018767717224,0,0.0,0.01,0.04,49.668844,-0.12531,0.069536,99.142842,2.335991
12,12,short,0.3351420113956758,0,0.0,0.01,0.04,49.571421,-0.351383,0.0694,98.722059,2.32429
13,13,short,0.3286612146375081,0,0.006735714285714321,0.005954696316802505,0.02381878526721002,49.361029,-4.936103,0.069105,93.71685,2.356694
15,15,short,0.1674076686301125,0,0.007142857142857181,0.006288113829951828,0.025152455319807313,46.858425,-0.205431,0.065602,93.445818,3.162962
16,16,short,0.3896004895539969,0,0.006807142857142885,0.006010722169662591,0.024042888678650363,46.722909,-4.672291,0.065412,88.708115,2.051998
17,17,short,0.21279838302914164,0,0.007200000000000016,0.006334682386063713,0.02533872954425485,44.354057,0.167801,0.062096,88.81382,2.936008
18,18,short,0.22514588210950245,0,0.007050000000000016,0.006162156492552983,0.024648625970211932,44.40691,0.381935,0.06217,89.133585,2.874271
19,19,short,0.11721300593748518,0,0.007342857142857159,0.006410344350229302,0.02564137740091721,44.566792,0.557537,0.062394,89.628729,3.413935
