idx,prob,signal,stop_pct,tp_pct,risk_pct_used,position_value,profit,cost,capital_after
16,0.559634918441462,long,0.008783349101229836,0.035133396404919345,0.005,50.0,0.5726269315673249,0.07,100.50262693156733
23,0.5818180948784244,long,0.009491566410736969,0.037966265642947875,0.005,50.25131346578367,-0.0682280846534237,0.07035183885209714,100.36404700806182
24,0.5933497184516419,long,0.009362236327952377,0.037448945311809506,0.005,50.18202350403091,-0.04525139591395225,0.07025483290564327,100.24854077924222
25,0.6467921680022605,long,0.008968961516513226,0.0358758460660529,0.005,50.12427038962111,-0.439791266877185,0.07017397854546956,99.73857553381957
26,0.6346140964703795,long,0.009021112638575395,0.03608445055430158,0.005,49.869287766909785,-0.49869287766909787,0.0698170028736737,99.1700656532768
27,0.7447331570393093,long,0.009008525011250438,0.03603410004500175,0.01,49.5850328266384,-0.991700656532768,0.06941904595729376,98.10894595078673
29,0.5752744587336035,long,0.009754246328054548,0.03901698531221819,0.005,49.05447297539337,0.5635206545134254,0.06867626216555071,98.6037903431346
41,0.56472386021806,long,0.011479862616949952,0.045919450467799806,0.005,42.946415664220005,0.20513625993948864,0.06902265324019421,98.7399039498339
44,0.5690481709079738,long,0.010938584709184742,0.04375433883673897,0.005,45.13376573613107,-0.14383427703076745,0.06911793276488373,98.52695174003826
45,0.6458478026678446,long,0.01054269132191094,0.04217076528764376,0.005,46.72760907609478,-0.06563156314850005,0.06896886621802678,98.39235131067173
48,0.6185607864803871,long,0.00975568299574883,0.03902273198299532,0.005,49.196175655335864,-0.37818439408094034,0.06887464591747021,97.9452922706733
49,0.5567397608745298,long,0.011118869335893134,0.04447547734357254,0.005,44.044627790747285,-0.26565151597435704,0.06856170458947132,97.61107905010948
52,0.6333623282869792,long,0.013531675042026627,0.05412670016810651,0.005,36.067626050340905,-0.4880553952505474,0.06832775533507664,97.05469589952386
56,0.5674724115554789,long,0.014889589033524024,0.059558356134096095,0.005,32.591462289860544,0.39032050941803426,0.06793828712966671,97.37707812181223
79,0.5714140140692987,long,0.011367307540776883,0.045469230163107534,0.005,42.83207688914042,-0.2008122744388834,0.06816395468526856,97.10810189268807
80,0.60412264335268,long,0.01132610837438421,0.04530443349753684,0.005,42.869138579105176,0.054793657586165334,0.06797567132488165,97.09491987894934
81,0.8390796956203339,long,0.011077293271774208,0.04430917308709683,0.01,48.54745993947467,-0.24670102227038068,0.06796644391526455,96.78025241276369
83,0.7999147899382253,long,0.011468100542754522,0.04587240217101809,0.01,48.390126206381844,-0.49283811921200615,0.06774617668893458,96.21966811686275
84,0.6992262118326134,long,0.012604401694177233,0.05041760677670893,0.01,48.109834058431375,-0.1732967145357703,0.06735376768180393,95.97901763464517
85,0.6946574378337151,long,0.012406954452303817,0.04962781780921527,0.01,47.98950881732259,0.20252860731789452,0.06718531234425162,96.11436092961881
86,0.7210472163653329,long,0.011288868859846765,0.04515547543938706,0.01,48.057180464809406,0.2523693091768591,0.06728005265073317,96.29945018614494
87,0.6604486920939869,long,0.010956618464961043,0.04382647385984417,0.01,48.14972509307247,0.026779602387685755,0.06740961513030146,96.25882017340233
88,0.9475561918321693,long,0.010490532452451599,0.041962129809806396,0.02,48.129410086701164,-1.9251764034680465,0.06738117412138163,94.2662625958129
89,0.9479833569135309,long,0.011141884069818633,0.04456753627927453,0.02,47.13313129790645,-1.8853252519162582,0.06598638381706903,92.31495096007959
90,0.9327496477781108,long,0.011056737870245362,0.04422695148098145,0.02,46.15747548003979,-1.8462990192015918,0.06462046567205572,90.40403147520594
91,0.7833076967862864,long,0.011437333215976076,0.045749332863904306,0.01,45.20201573760297,-0.9040403147520594,0.06328282203264415,89.43670833842123
92,0.5893336205196578,long,0.011916512896545649,0.047666051586182596,0.005,37.52637584286385,-0.3400777098964033,0.06260569583689486,89.03402493268793
94,0.7832144563189237,long,0.013151108818978898,0.052604435275915594,0.01,44.517012466343964,0.09795328652948725,0.062323817452881555,89.06965440176454
95,0.8318920518307505,long,0.013521690812744834,0.05408676325097934,0.01,44.53482720088227,0.34940045626723676,0.062348758081235175,89.35670609995054
96,0.8610507794876214,long,0.013514625458511967,0.05405850183404787,0.02,44.67835304997527,0.1539796814845296,0.06254969426996537,89.44813608716511
97,0.8910836033569203,long,0.013487816667526657,0.05395126667010663,0.02,44.724068043582555,0.12582283860417348,0.06261369526101558,89.51134523050827
98,0.8775782342818765,long,0.012951500620580174,0.051806002482320694,0.02,44.755672615254134,-0.2835223855160268,0.0626579416613558,89.16516490333089
99,0.903551723374508,long,0.014241799529136255,0.05696719811654502,0.02,44.582582451665445,-0.045259787306591755,0.06241561543233162,89.05748950059197
100,0.7958745515898406,long,0.014878752183273104,0.059515008733092414,0.01,44.528744750295985,-0.15952862776619234,0.06234024265041438,88.83562063017536
101,0.8329761490533683,long,0.01531670699426754,0.06126682797707016,0.01,44.41781031508768,-0.8883562063017536,0.062184934441122754,87.88507948943248
102,0.7818339585149863,long,0.015115108460281893,0.06046043384112757,0.01,43.94253974471624,-0.48912221802993433,0.06151955564260274,87.33443771575995
103,0.8666868320729374,long,0.014757977725960842,0.05903191090384337,0.02,43.66721885787997,-0.32605454860019945,0.061134106401031965,86.94724906075872
104,0.6960259537323618,long,0.015927659428020827,0.06371063771208331,0.01,43.47362453037936,0.7192889744029066,0.060863074342531104,87.60567496081909
105,0.6110409425493416,long,0.015373744580429198,0.06149497832171679,0.005,28.491976857850645,0.13545455767034037,0.06132397247257336,87.67980554601685
